0,1,2,3,4,5,6,7,8,9,10,11,12,13
92,4,4,100,1,780,10,190.1,93.9715939,183.84,74,2.36,770,139
92,4,4,100,2,780,10,187.34,90.2103128,183.84,74,2.36,770,139
92,4,4,100,0.5,780,10,186.6,90.03215434,183.84,74,2.36,770,139
92,4,4,100,0.25,780,10,187.81,85.19248176,183.84,74,2.36,770,139
18.75,62.5,18.75,116,2.5,900,8,216.8,86.3,26.982,13,1.61,577.5,118
95,2,3,101,1,680,10,224.7,87,26.982,13,1.61,577.5,118
95,2,3,101,1,700,10,222.5,84.83146067,26.982,13,1.61,577.5,118
95,2,3,101,1,730,10,216,82.40740741,26.982,13,1.61,577.5,118
95,2,3,101,1,750,10,211.1,74,26.982,13,1.61,577.5,118
80,10,10,105,0.5,750,20,209,86.7,92.90638,41,1.6,652.1,146
80,10,10,105,0.5,750,20,284.2,79.8,92.90638,41,1.6,652.1,146
94,1.5,4.5,103,0.1,680,24,210,80.01,69.723,31,1.81,578.8,136
94,1.5,4.5,103,0.25,680,24,205,90.1,69.723,31,1.81,578.8,136
80,10,10,105,0.01,780,12,189,67.03703704,24.305,12,1.31,737.7,145
80,10,10,105,0.05,780,12,210.9,81.03366524,24.305,12,1.31,737.7,145
95,0,4,101,1,800,10,180,56,26.982,13,1.61,577.5,118
95,0,4,101,1,800,10,190,64,47.867,22,1.54,658.8,147
95,0,4,101,1,800,10,208,74,180.94788,73,1.5,761,146
95,0,4,101,1,800,10,200,79,121.76,51,2.05,834,140
95,0,4,101,1,800,10,206,78,92.90638,41,1.6,652.1,146
95,0,4,101,1,800,10,225,83,183.84,74,2.36,770,139
95,0,4,101,1,800,10,225,85,95.95,42,2.16,684.3,139
95,0,4,101,1,700,10,220,80,26.982,13,1.61,577.5,118
94,2,3,101,1,700,10,228,93,95.95,42,2.16,684.3,139
95,0,4,101,1,700,30,215,75.3,26.982,13,1.61,577.5,118
95,0,4,101,1,700,60,207,69,26.982,13,1.61,577.5,118
95,0,4,101,1,700,10,232,91,95.95,42,2.16,684.3,139
95,0,4,101,1,700,30,232,88.8,95.95,42,2.16,684.3,139
95,0,4,101,1,700,60,232,87.2,95.95,42,2.16,684.3,139
95,0,4,101,1,750,10,192.5,66,26.982,13,1.61,577.5,118
95,0,4,101,1,750,10,228,89,95.95,42,2.16,684.3,139
99,0,0,101,1,770,10,228,90.3,183.84,74,2.36,770,139
98.5,0,0,101,1.5,790,10,219,93.5,183.84,74,2.36,770,139
98,0,0,101,2,810,10,204.8,95.5,183.84,74,2.36,770,139
80,10,10,110,1,780,15,183,97.3,88.90585,39,1.22,600,212
80,10,10,110,2,780,15,182,99.5,88.90585,39,1.22,600,212
80,10,10,110,3,780,15,177,99.4,88.90585,39,1.22,600,212
80,10,10,110,4,780,15,173,99.4,88.90585,39,1.22,600,212
88,0,10,101,2,720,10,210,91.9,26.982,13,1.61,577.5,118
86,0,10,101,4,720,10,207,92.6,26.982,13,1.61,577.5,118
84,0,10,101,6,720,10,199,94.5,26.982,13,1.61,577.5,118
94.35,1.82,2.9,101,0.93,680,10,224.7,87,26.982,13,1.61,577.5,118
94.35,1.82,2.9,101,0.93,700,10,220,85.8,26.982,13,1.61,577.5,118
94.35,1.82,2.9,101,0.93,730,10,217,82,26.982,13,1.61,577.5,118
94.35,1.82,2.9,101,0.93,750,10,211.1,74,26.982,13,1.61,577.5,118
92,3.3,4,101,0.7,750,10,217,89.3,26.982,13,1.61,577.5,118
92,3.3,4,101,0.7,770,10,218,98.3,92.90638,41,1.6,652.1,146
94,3,3,103,0.15,680,24,223,79.2,91.224,40,1.33,640.1,160
94,3,3,103,0.1,680,24,225,84.4,69.723,31,1.81,578.8,136
80,17,0,105,3,780,12,149.4,94.91,26.982,13,1.61,577.5,118
80,15,0,105,5,780,12,169,94.7,26.982,13,1.61,577.5,118
80,10,0,105,10,780,12,145,98,26.982,13,1.61,577.5,118
80,15,5,101,0.5,770,10,203,95.6,18.998,9,3.98,1681,64
80,15,5,101,1,770,10,199,99.7,18.998,9,3.98,1681,64
80,15,5,101,2,770,10,190,96.5,18.998,9,3.98,1681,64
90,5,5,104,0.5,760,10,205,81.2,95.95,42,2.16,684.3,139
90,5,5,104,1,760,10,195,91.3,95.95,42,2.16,684.3,139
90,5,5,104,1.5,760,10,185,82.2,95.95,42,2.16,684.3,139
94.651,0,3.882,101,0.374,700,10,198,86.9,92.90638,41,1.6,652.1,146
95.658,0,3.872,101,0.47,700,10,210,96.7,92.90638,41,1.6,652.1,146
95.393,0,4.041,101,0.566,700,10,210,82.9,92.90638,41,1.6,652.1,146
95.696,0,0,101,4.304,650,10,224,86.6,26.982,13,1.61,577.5,118
95.696,0,0,101,4.304,680,10,219,83.5,26.982,13,1.61,577.5,118
99.254,0,0,101,0.746,650,10,220,87.4,47.867,22,1.54,658.8,147
99.254,0,0,101,0.746,680,10,229,86.5,47.867,22,1.54,658.8,147
99.254,0,0,101,0.746,700,10,233,81.7,47.867,22,1.54,658.8,147
