0,1,2,3,4,5,6,7,8,9,10,11,12,13
1.0,,,,,0.7777777777777778,0.16666666666666666,0.768472906403941,0.7372116349047141,0.14676892950391643,0.17567567567567569,0.40452261306532666,0.34354550862581795,0.5566037735849056
1.0,,0.0,,0.025,0.8111111111111111,0.16666666666666666,0.752990851513019,0.5426278836509528,0.14676892950391643,0.17567567567567569,,,
1.0,0.0,,0.8706896551724138,0.025,0.8333333333333334,0.16666666666666666,0.7255453905700211,0.44232698094282846,,0.17567567567567569,0.40452261306532666,,0.5566037735849056
1.0,0.0,0.0,,0.025,0.7222222222222222,0.16666666666666666,0.82899366643209,0.8134403209628885,,0.5540540540540541,,0.3879238548483046,
1.0,0.0,,0.8706896551724138,0.025,0.7555555555555555,0.16666666666666666,0.8015482054890922,0.8184553660982948,0.5053654264577894,0.5540540540540541,0.4020100502512563,0.3879238548483046,
1.0,0.0,0.0,0.8706896551724138,0.025,,,0.8096410978184377,,0.5053654264577894,0.5540540540540541,,,
1.0,0.0,0.0,0.8706896551724138,0.025,0.8111111111111111,,0.7902885292047854,0.8164493480441324,0.5053654264577894,0.5540540540540541,0.4020100502512563,0.3879238548483046,0.6886792452830188
1.0,0.0,0.0,,,0.8333333333333334,0.16666666666666666,0.7952146375791697,0.8114343029087262,0.5053654264577894,0.5540540540540541,0.4020100502512563,0.3879238548483046,
,0.0,,0.8706896551724138,0.025,0.8555555555555555,0.16666666666666666,0.7579169598874033,,0.5053654264577894,0.5540540540540541,0.4020100502512563,,0.6886792452830188
,0.0,0.0,,,0.8888888888888888,,0.7322308233638283,0.6780341023069207,0.5053654264577894,,,,
,0.0,,0.8706896551724138,,0.7222222222222222,0.16666666666666666,,0.851554663991976,0.984268276762402,0.9864864864864865,0.3768844221105528,0.4527067221891731,0.6886792452830188
1.0,0.0,0.0,0.8706896551724138,0.025,,0.16666666666666666,0.8430682617874736,0.8565697091273822,0.984268276762402,0.9864864864864865,0.3768844221105528,,0.6886792452830188
1.0,,0.0,0.8706896551724138,0.025,0.7777777777777778,0.16666666666666666,0.8261787473610135,,,0.9864864864864865,0.3768844221105528,,0.6886792452830188
1.0,,,0.8706896551724138,,,0.16666666666666666,0.8367346938775511,0.8445336008024072,0.984268276762402,0.9864864864864865,0.3768844221105528,,0.6886792452830188
1.0,0.0,0.0,0.8706896551724138,,0.8333333333333334,0.16666666666666666,,0.827482447342026,0.984268276762402,0.9864864864864865,,,
1.0,0.0,0.0,0.8706896551724138,0.025,0.8555555555555555,0.16666666666666666,0.7301196340605208,,0.984268276762402,0.9864864864864865,0.3768844221105528,,0.6886792452830188
,,,0.8706896551724138,0.025,0.8888888888888888,0.16666666666666666,0.7030260380014075,,0.984268276762402,0.9864864864864865,0.3768844221105528,0.4527067221891731,0.6886792452830188
